pulse_order,Q_0cycle_Ah,Q_20cycle_Ah,Q_mean_Ah,U_0cycle_V,U_20cycle_V,deltaU_20_minus_0_mV,recovery_0cycle_mV,recovery_20cycle_mV,delta_recovery_20_minus_0_mV
1,0.25,0.24999999999999192,0.24999999999999595,4.122518341904934,4.1202205342285945,-2.2978076763395805,13.394099423164718,13.10153937542946,-0.29256004773525746
2,0.49999999999999983,0.49999999999998385,0.49999999999999184,4.096251051213988,4.096183638010217,-0.06741320377123827,5.772889428586225,5.952118469609857,0.1792290410236319
3,0.7499999999999996,0.7499999999999758,0.7499999999999877,4.081054207700867,4.079932294887248,-1.1219128136188417,10.597764775323704,11.111741150425125,0.5139763751014215
4,0.9999999999999993,0.9999999999999596,0.9999999999999795,4.04303041253778,4.041372580189714,-1.6578323480658241,14.632279424674266,14.728170138845087,0.09589071417082096
5,1.249999999999999,1.2499999999999434,1.2499999999999711,3.9962756113161193,3.9943679041929743,-1.9077071231450304,14.765932860663966,14.609305629457392,-0.15662723120657418
6,1.4999999999999984,1.4999999999999272,1.4999999999999627,3.950234288114235,3.9481988863849398,-2.035401729295394,12.971251617255763,12.74577915446029,-0.22547246279547295
7,1.749999999999998,1.749999999999911,1.7499999999999545,3.8992043803599756,3.8967322708273078,-2.4721095326678544,14.379569079618015,14.311634071756174,-0.06793500786184126
8,1.999999999999997,1.9999999999998948,1.9999999999999458,3.847603937118551,3.845531128927161,-2.0728081913898855,12.39045919370163,12.280003656103045,-0.11045553759858606
9,2.249999999999996,2.2499999999998788,2.2499999999999374,3.807252395996088,3.8053728920019276,-1.8795039941603697,13.92706530651422,14.077823626623243,0.15075832010902346
10,2.499999999999995,2.4999999999998628,2.499999999999929,3.7616849198409175,3.759535310438686,-2.1496094022315226,14.815691784384466,14.9199734996035,0.10428171521903451
11,2.7499999999999942,2.749999999999847,2.7499999999999205,3.7162032126190336,3.7139169914338397,-2.2862211851939485,13.404223048201658,13.198804865295788,-0.20541818290586988
12,2.9999999999999933,2.999999999999831,2.999999999999912,3.676386821242877,3.674787735537149,-1.5990857057279761,11.50270439161627,11.123003398884723,-0.37970099273154645
13,3.2499999999999925,3.249999999999815,3.2499999999999036,3.6393567465902574,3.637029388620265,-2.327357969992505,10.662823585494863,10.17682838119871,-0.4859952042961524
14,3.4999999999999902,3.499999999999799,3.4999999999998943,3.5987333682392317,3.5957078605780906,-3.02550766114118,10.431808581036872,9.801947093457386,-0.6298614875794861
15,3.749999999999988,3.749999999999783,3.7499999999998854,3.5500349069716037,3.5470382405116743,-2.9966664599294646,10.34734353343758,10.358210083816655,0.010866550379073914
16,3.999999999999986,3.999999999999767,3.9999999999998765,3.496030393902838,3.494346417412191,-1.683976490646888,9.431967448378042,9.096862077945023,-0.3351053704330198
