cycle,pulse_order,pulse_segment_id,rest_segment_id,pulse_idx_start,pulse_idx_stop,rest_idx_start,rest_idx_stop,pulse_duration_min,rest_duration_min,pulse_I_mean_A,U_pulse_start_V,U_pulse_end_V,U_rest_start_V,U_rest_end_V
0,1,0,1,0,31,31,92,30.0,60.0,0.5,4.1762950752678005,4.088665251697243,4.109124242481769,4.122518341904934
0,2,2,3,92,123,123,184,29.999999999999986,59.999999999999986,0.5,4.101663229365387,4.071658890454623,4.090478161785402,4.096251051213988
0,3,4,5,184,215,215,276,29.999999999999968,59.99999999999997,0.5,4.077098780401455,4.052723388643058,4.070456442925543,4.081054207700867
0,4,6,7,276,307,307,368,29.999999999999968,59.999999999999936,0.5,4.063029861637261,4.011424921589962,4.028398133113106,4.04303041253778
0,5,8,9,368,399,399,460,29.99999999999994,59.999999999999936,0.5,4.025793094572734,3.965078657537457,3.9815096784554553,3.9962756113161193
0,6,10,11,460,491,491,552,29.99999999999994,59.999999999999936,0.5,3.9795996496354684,3.921223425576758,3.9372630364969794,3.950234288114235
0,7,12,13,552,583,583,644,29.99999999999994,59.99999999999988,0.5,3.9339561354217056,3.869052851654158,3.8848248112803576,3.8992043803599756
0,8,14,15,644,675,675,736,29.99999999999988,59.99999999999988,0.5,3.8831971068044986,3.81958911956524,3.8352134779248495,3.847603937118551
0,9,16,17,736,767,767,828,29.99999999999988,59.99999999999988,0.5,3.831766771026098,3.777771662496776,3.793325330689574,3.807252395996088
0,10,18,19,828,859,859,920,29.99999999999988,59.99999999999988,0.5,3.7914920931909646,3.7313000207167493,3.746869228056533,3.7616849198409175
0,11,20,21,920,951,951,1012,29.99999999999988,59.99999999999988,0.5,3.745913558460387,3.6871288887831204,3.702798989570832,3.7162032126190336
0,12,22,23,1012,1043,1043,1104,29.99999999999988,59.99999999999988,0.5,3.7003314800911165,3.6490224511573275,3.664884116851261,3.676386821242877
0,13,24,25,1104,1135,1135,1196,29.99999999999988,59.99999999999976,0.5,3.66032962051778,3.612543032765993,3.6286939230047626,3.6393567465902574
0,14,26,27,1196,1227,1227,1288,29.99999999999976,59.99999999999976,0.5,3.623009670482931,3.571730936112894,3.588301559658195,3.5987333682392317
0,15,28,29,1288,1319,1319,1380,29.99999999999976,59.99999999999976,0.5,3.581963725679555,3.5225297874000505,3.539687563438166,3.5500349069716037
0,16,30,31,1380,1411,1411,1472,29.99999999999976,59.99999999999976,0.5,3.532676899839404,3.46862415321496,3.48659842645446,3.496030393902838
20,1,80,81,4380,4411,4411,4472,29.99999999999903,59.99999999999903,0.5,4.170794616860208,4.0865876711712765,4.107118994853165,4.1202205342285945
20,2,82,83,4472,4503,4503,4564,29.99999999999903,59.99999999999903,0.5,4.099297143646657,4.071331366220715,4.090231519540607,4.096183638010217
20,3,84,85,4564,4595,4595,4656,29.99999999999903,59.99999999999806,0.5,4.076947223272612,4.0509963358814005,4.068820553736823,4.079932294887248
20,4,86,87,4656,4687,4687,4748,29.99999999999806,59.99999999999806,0.5,4.061814557946538,4.0095723777425984,4.026644410050869,4.041372580189714
20,5,88,89,4748,4779,4779,4840,29.99999999999806,59.99999999999806,0.5,4.0240357023929425,3.9632232995346337,3.979758598563517,3.9943679041929743
20,6,90,91,4840,4871,4871,4932,29.99999999999806,59.99999999999806,0.5,3.977586878890774,3.919301777672212,3.9354531072304795,3.9481988863849398
20,7,92,93,4932,4963,4963,5024,29.99999999999806,59.99999999999806,0.5,3.9318110281194505,3.866532672783846,3.8824206367555516,3.8967322708273078
20,8,94,95,5024,5055,5055,5116,29.99999999999806,59.99999999999806,0.5,3.880610558356266,3.817507296270792,3.833251125271058,3.845531128927161
20,9,96,97,5116,5147,5147,5208,29.99999999999806,59.99999999999806,0.5,3.8295750178108006,3.77561749491349,3.7912950683753044,3.8053728920019276
20,10,98,99,5208,5239,5239,5300,29.99999999999806,59.99999999999806,0.5,3.7894896404776697,3.7289187730622033,3.7446153369390824,3.759535310438686
20,11,100,101,5300,5331,5331,5392,29.99999999999806,59.99999999999806,0.5,3.743636430519201,3.684915601786737,3.700718186568544,3.7139169914338397
20,12,102,103,5392,5423,5423,5484,29.99999999999806,59.99999999999806,0.5,3.6979120839503135,3.6476649648474426,3.6636647321382645,3.674787735537149
20,13,104,105,5484,5515,5515,5576,29.99999999999806,59.99999999999806,0.5,3.65859578437534,3.6105572308436575,3.626852560239066,3.637029388620265
20,14,106,107,5576,5607,5607,5668,29.99999999999806,59.99999999999806,0.5,3.6205383769243156,3.5691821797620547,3.585905913484633,3.5957078605780906
20,15,108,109,5668,5699,5699,5760,29.99999999999806,59.99999999999806,0.5,3.5787861515021797,3.519359110627331,3.5366800304278576,3.5470382405116743
20,16,110,111,5760,5791,5791,5852,29.99999999999806,59.99999999999806,0.5,3.529517158552207,3.4670959735178197,3.485249555334246,3.494346417412191
