condition,branch,electrode,LAM_fraction,region,ICA_peak_mag_Ah_per_V_signal_mean,ICA_peak_mag_Ah_per_V_signal_abs_mean,ICA_peak_mag_Ah_per_V_signal_range_across_smoothing,ICA_peak_mag_Ah_per_V_signal_abs_range_across_smoothing,ICA_peak_mag_Ah_per_V_signal_to_smoothing_range_ratio,ICA_peak_mag_Ah_per_V_direction_consistency,ICA_peak_Q_Ah_signal_mean,ICA_peak_Q_Ah_signal_abs_mean,ICA_peak_Q_Ah_signal_range_across_smoothing,ICA_peak_Q_Ah_signal_abs_range_across_smoothing,ICA_peak_Q_Ah_signal_to_smoothing_range_ratio,ICA_peak_Q_Ah_direction_consistency,ICA_median_Ah_per_V_signal_mean,ICA_median_Ah_per_V_signal_abs_mean,ICA_median_Ah_per_V_signal_range_across_smoothing,ICA_median_Ah_per_V_signal_abs_range_across_smoothing,ICA_median_Ah_per_V_signal_to_smoothing_range_ratio,ICA_median_Ah_per_V_direction_consistency,DVA_peak_mag_V_per_Ah_signal_mean,DVA_peak_mag_V_per_Ah_signal_abs_mean,DVA_peak_mag_V_per_Ah_signal_range_across_smoothing,DVA_peak_mag_V_per_Ah_signal_abs_range_across_smoothing,DVA_peak_mag_V_per_Ah_signal_to_smoothing_range_ratio,DVA_peak_mag_V_per_Ah_direction_consistency,DVA_peak_Q_Ah_signal_mean,DVA_peak_Q_Ah_signal_abs_mean,DVA_peak_Q_Ah_signal_range_across_smoothing,DVA_peak_Q_Ah_signal_abs_range_across_smoothing,DVA_peak_Q_Ah_signal_to_smoothing_range_ratio,DVA_peak_Q_Ah_direction_consistency,DVA_median_V_per_Ah_signal_mean,DVA_median_V_per_Ah_signal_abs_mean,DVA_median_V_per_Ah_signal_range_across_smoothing,DVA_median_V_per_Ah_signal_abs_range_across_smoothing,DVA_median_V_per_Ah_signal_to_smoothing_range_ratio,DVA_median_V_per_Ah_direction_consistency
NE_LAM_10pct,NE_LAM,negative,0.1,central,0.8008407946143858,1.4025153165015887,4.066289292344301,2.8629402485698954,0.4898863387743343,0.5,0.008135488819147357,0.008135488819147357,0.013559148031912271,0.013559148031912271,0.5999999999999996,1.0,-0.5473250861100407,0.5473250861100407,0.18509683085710638,0.18509683085710638,2.956966273142582,1.0,0.18542305335373044,0.18542305335373044,0.1645793153111299,0.1645793153111299,1.1266485888776263,1.0,1.6874359725714818,1.6874359725714818,2.1287862410102263,2.1287862410102263,0.7926751592356688,1.0,0.017399422340560022,0.017399422340560022,0.006279919895405328,0.006279919895405328,2.7706439939290024,1.0
NE_LAM_10pct,NE_LAM,negative,0.1,full_common,1.0272448563194585,1.522978483624489,4.066289292529369,2.3810875803281846,0.6396146434120569,0.75,0.0013559148031912216,0.014915062835103493,0.040677444095736814,0.018982807244677158,0.7857142857142864,0.75,-0.5120755818282405,0.5120755818282405,0.19380988890089412,0.19380988890089412,2.6421540445239797,1.0,0.21292166716790462,0.21292166716790462,0.12801014045362535,0.12801014045362535,1.6633187528220894,1.0,3.8758824649221224,3.8758824649221224,0.2549119829999502,0.2549119829999502,15.20478723404258,1.0,0.01650443744293284,0.01650443744293284,0.006304318749130289,0.006304318749130289,2.6179573241295433,1.0
NE_LAM_20pct,NE_LAM,negative,0.2,central,2.6604246780773897,2.6604246780773897,5.676207035495423,5.676207035495423,0.46869761117604936,1.0,0.016270977638294715,0.016270977638294715,0.027118296063824543,0.027118296063824543,0.5999999999999996,1.0,-0.9688453193059905,0.9688453193059905,0.18416837811391673,0.18416837811391673,5.260649679537898,1.0,2.596385741078734,2.596385741078734,2.6284102220409977,2.6284102220409977,0.9878160263212657,1.0,1.6928596317842466,1.6928596317842466,2.134209900222991,2.134209900222991,0.7932020330368488,1.0,0.033431279182678963,0.033431279182678963,0.007831298620772031,0.007831298620772031,4.268931731705975,1.0
NE_LAM_20pct,NE_LAM,negative,0.2,full_common,2.4205180587795248,2.4605179015545264,5.8830266867635785,5.723027315663572,0.4299329298709166,0.75,0.0013559148031912216,0.031186040473398208,0.08677854740423852,0.0461011033085017,0.676470588235294,0.75,-0.9416182101330166,0.9416182101330166,0.11033381583454638,0.11033381583454638,8.534266697936397,1.0,3.351581151543428,3.351581151543428,3.1624075015989774,3.1624075015989774,1.0598195045542993,1.0,3.8833399963396737,3.8833399963396737,0.271182960638245,0.271182960638245,14.32000000000002,1.0,0.03300113915757663,0.03300113915757663,0.003538409211614635,0.003538409211614635,9.326546813537618,1.0
NE_LAM_5pct,NE_LAM,negative,0.05,central,0.561492809052865,0.8497266949271225,2.921522510316496,2.15636366792598,0.3940553755222565,0.75,-0.0006779574015956247,0.019660764646272783,0.05966025134041397,0.037965614489354316,0.5178571428571431,0.6666666666666666,-0.1285314941550173,0.1285314941550173,0.13314290503630133,0.13314290503630133,0.9653649521915815,1.0,0.008269279869836055,0.008269279869836055,0.004431286090493813,0.004431286090493813,1.8661128396958326,1.0,-0.11728663047604115,0.11728663047604115,0.10576135464891578,0.10576135464891578,1.1089743589743584,1.0,0.003794747589807912,0.003794747589807912,0.003982575119266585,0.003982575119266585,0.9528376681333603,1.0
NE_LAM_5pct,NE_LAM,negative,0.05,full_common,0.6244083648354408,0.9126422507698209,2.921522510501564,2.156363667990803,0.4232320662405602,0.75,-0.003389787007978068,0.022372594252655226,0.05966025134041397,0.027118296063824543,0.8249999999999992,0.75,-0.09436455474509686,0.09436455474509686,0.14929813240896905,0.14929813240896905,0.63205448870992,1.0,0.00027670407058622004,0.0005243193928095025,0.0017410625700904347,0.00124583192564387,0.4208588510352423,0.5,0.0,0.0,0.0,0.0,inf,,0.0028152836634944833,0.0028152836634944833,0.004460795505167425,0.004460795505167425,0.6311169521743899,1.0
PE_LAM_10pct,PE_LAM,positive,0.1,central,0.6500454444379766,1.047670091375096,2.4737989837591243,1.53675907684039,0.6817399728844474,0.75,-0.08677854740423853,0.08677854740423853,0.19525173165953663,0.19525173165953663,0.4444444444444446,1.0,-0.39217247732216665,0.39217247732216665,0.027339481819860012,0.027339481819860012,14.344546831801464,1.0,0.018265626637770538,0.018265626637770538,0.009472624458680912,0.009472624458680912,1.9282540670164048,1.0,-0.5111798808030925,0.5111798808030925,2.036584034393223,2.036584034393223,0.2509986684420772,1.0,0.012098320721747768,0.012098320721747768,0.0009034843000108594,0.0009034843000108594,13.390737084863957,1.0
PE_LAM_10pct,PE_LAM,positive,0.1,full_common,-1.7849882302105655,2.5725336145589477,5.89857490777446,3.5282348452682797,0.7291276594042417,0.75,-0.0603382087420096,0.0603382087420096,0.08949037701062107,0.08949037701062107,0.6742424242424235,1.0,-0.37470826117113387,0.37470826117113387,0.014432796024427041,0.014432796024427041,25.962277893829597,1.0,0.020395175168317792,0.020395175168317792,0.02994541830526032,0.02994541830526032,0.6810783192410808,1.0,0.0,0.0,0.0,0.0,inf,,0.011771350997008767,0.011771350997008767,0.00044232094387552934,0.00044232094387552934,26.612691892611956,1.0
PE_LAM_20pct,PE_LAM,positive,0.2,central,-0.17997231441101658,2.410095176724872,8.301594802122466,3.8413490774947547,0.6274085296868371,0.5,-0.1152527582712543,0.1152527582712543,0.13016782110635772,0.13016782110635772,0.8854166666666672,1.0,-0.5856405337655051,0.5856405337655051,0.05115120822696184,0.05115120822696184,11.44920235641303,1.0,0.06760172194134384,0.06760172194134384,0.013383844109398524,0.013383844109398524,5.050994421989117,1.0,-0.5064341789919233,0.5064341789919233,2.006753908723016,2.006753908723016,0.25236486486486487,1.0,0.018727114947495238,0.018727114947495238,0.001807598462619353,0.001807598462619353,10.360218452696717,1.0
PE_LAM_20pct,PE_LAM,positive,0.2,full_common,-4.87281401731553,4.87281401731553,7.064975291555351,7.064975291555351,0.6897142334156391,1.0,-0.09898178063295955,0.09898178063295955,0.027118296063824654,0.027118296063824654,3.649999999999984,1.0,-0.5453127314933477,0.5453127314933477,0.07408922760935166,0.07408922760935166,7.360216175671367,1.0,0.05334430154283609,0.05334430154283609,0.047768475273187505,0.047768475273187505,1.1167260675112716,1.0,0.39863895213822076,0.39863895213822076,1.594555808552883,1.594555808552883,0.25,1.0,0.01767640994759745,0.01767640994759745,0.002100479680677836,0.002100479680677836,8.415415826299819,1.0
