condition,segment_id,segment_type,idx_start,idx_stop,t_start_s,t_end_s,duration_s,duration_min,U_start_V,U_end_V,I_mean_A,I_min_A,I_max_A,n_points,source_file
no_plating_10C_1C,0,rest,0,22,20074.250011741187,20076.250011741187,2.0,0.0333333333333333,3.7376754480592176,3.737675692004552,0.0,0.0,0.0,22,data/plating_hppc_process_isolated/no_plating_10C_1C_segment_audit.csv
no_plating_10C_1C,1,discharge,22,123,20076.25001174119,20086.250011741187,9.999999999996362,0.166666666666606,3.5703197334699945,3.541263899978145,5.0,5.0,5.0,101,data/plating_hppc_process_isolated/no_plating_10C_1C_segment_audit.csv
no_plating_10C_1C,2,rest,123,6124,20086.25001174119,20686.250011741187,599.9999999999964,9.99999999999994,3.706867136246536,3.7343683197571673,0.0,0.0,0.0,6001,data/plating_hppc_process_isolated/no_plating_10C_1C_segment_audit.csv
no_plating_10C_2C,0,rest,0,22,19603.28743492664,19605.28743492664,2.0,0.0333333333333333,3.7368139649376406,3.736814195550226,0.0,0.0,0.0,22,data/plating_hppc_process_isolated/no_plating_10C_2C_segment_audit.csv
no_plating_10C_2C,1,discharge,22,123,19605.28743492665,19615.28743492664,9.999999999996362,0.166666666666606,3.5695514405973734,3.5407931293071293,5.0,5.0,5.0,101,data/plating_hppc_process_isolated/no_plating_10C_2C_segment_audit.csv
no_plating_10C_2C,2,rest,123,6124,19615.28743492665,20215.28743492664,599.9999999999964,9.99999999999994,3.7063912409885793,3.733453946265593,0.0,0.0,0.0,6001,data/plating_hppc_process_isolated/no_plating_10C_2C_segment_audit.csv
no_plating_25C_1C,0,rest,0,22,18445.46680804773,18447.46680804773,2.0,0.0333333333333333,3.7483620370311135,3.748362051046595,0.0,0.0,0.0,22,data/plating_hppc_process_isolated/no_plating_25C_1C_segment_audit.csv
no_plating_25C_1C,1,discharge,22,123,18447.466808047735,18457.46680804773,9.999999999996362,0.166666666666606,3.6247353496487498,3.5974926727725247,5.0,5.0,5.0,101,data/plating_hppc_process_isolated/no_plating_25C_1C_segment_audit.csv
no_plating_25C_1C,2,rest,123,6124,18457.466808047735,19057.46680804773,599.9999999999964,9.99999999999994,3.719410595859181,3.7449742632487264,0.0,0.0,0.0,6001,data/plating_hppc_process_isolated/no_plating_25C_1C_segment_audit.csv
plating_10C_1C,0,rest,0,22,20015.061895944033,20017.061895944033,2.0,0.0333333333333333,3.736467324329459,3.73646757841117,0.0,0.0,0.0,22,data/plating_hppc_process_isolated/plating_10C_1C_segment_audit.csv
plating_10C_1C,1,discharge,22,123,20017.061895944036,20027.061895944033,9.999999999996362,0.166666666666606,3.5695317255540573,3.5402935149248407,5.0,5.0,5.0,101,data/plating_hppc_process_isolated/plating_10C_1C_segment_audit.csv
plating_10C_1C,2,rest,123,6124,20027.061895944036,20627.061895944033,599.9999999999964,9.99999999999994,3.705499903262738,3.7331705714276,0.0,0.0,0.0,6001,data/plating_hppc_process_isolated/plating_10C_1C_segment_audit.csv
plating_10C_2C,0,rest,0,22,19518.14538936322,19520.14538936322,2.0,0.0333333333333333,3.735111722865262,3.7351119198899134,0.0,0.0,0.0,22,data/plating_hppc_process_isolated/plating_10C_2C_segment_audit.csv
plating_10C_2C,1,discharge,22,123,19520.145389363224,19530.14538936322,9.999999999996362,0.166666666666606,3.5682472946683252,3.5396917796703096,5.0,5.0,5.0,101,data/plating_hppc_process_isolated/plating_10C_2C_segment_audit.csv
plating_10C_2C,2,rest,123,6124,19530.145389363224,20130.14538936322,599.9999999999964,9.99999999999994,3.7049000795887466,3.7316874663569624,0.0,0.0,0.0,6001,data/plating_hppc_process_isolated/plating_10C_2C_segment_audit.csv
plating_25C_1C,0,rest,0,22,18424.589033938675,18426.589033938675,2.0,0.0333333333333333,3.747832446463721,3.747832498431451,0.0,0.0,0.0,22,data/plating_hppc_process_isolated/plating_25C_1C_segment_audit.csv
plating_25C_1C,1,discharge,22,123,18426.58903393868,18436.589033938675,9.999999999996362,0.166666666666606,3.6244923080984623,3.5972431145336863,5.0,5.0,5.0,101,data/plating_hppc_process_isolated/plating_25C_1C_segment_audit.csv
plating_25C_1C,2,rest,123,6124,18436.58903393868,19036.589033938675,599.9999999999964,9.99999999999994,3.718875280219665,3.74438423978134,0.0,0.0,0.0,6001,data/plating_hppc_process_isolated/plating_25C_1C_segment_audit.csv
